Site_ID,Name,Region,GDP/GMP Compliance
SITE00122,Central Packaging Site,South America,Fully Certified
SITE00123,Core Production Plant,Caribbean,GMP Certified
SITE00124,Regional Processing Facility,Middle East,Fully Certified
SITE00125,Core Testing Unit,Oceania,GDP Pending
SITE00126,Regional Distribution Complex,Central America,GMP/GDP Compliant
SITE00127,Main Processing Laboratory,North Africa,GDP Pending
SITE00128,Key Development Campus,Northern Europe,Fully Certified
SITE00129,Strategic Testing Laboratory,Northern Europe,GDP Compliant
SITE00130,Principal Packaging Campus,East Asia,GMP Pending
SITE00131,Core Processing Hub,South Asia,Dual Certified
SITE00132,Principal Production Location,Oceania,GMP Pending
SITE00133,Advanced Clinical Laboratory,Sub-Saharan Africa,GMP/GDP Compliant
SITE00134,Central Processing Unit,Oceania,GMP Certified
SITE00135,Core Clinical Laboratory,East Asia,GMP Certified
SITE00136,Flagship Research Complex,Oceania,GDP Compliant
SITE00137,Regional Production Unit,East Asia,GMP Certified
SITE00138,Key Processing Unit,South America,Conditionally Approved
SITE00139,Main Development Location,South Asia,GMP Certified
SITE00140,Flagship Processing Hub,Western Europe,Conditionally Approved
SITE00141,Principal Distribution Center,North Africa,Under Review
SITE00142,Regional Research Complex,East Asia,GDP Pending
SITE00143,Principal Distribution Center,Middle East,Certified with Exceptions
SITE00144,Primary Storage Center,Middle East,Dual Certified
SITE00145,Primary Development Center,South Asia,GMP/GDP Compliant
SITE00146,Key Development Location,East Asia,Conditionally Approved
SITE00147,Principal Development Unit,Eastern Europe,Fully Certified
SITE00148,Main Storage Location,Caribbean,GDP Compliant
SITE00149,Main Clinical Laboratory,Southern Europe,GDP Compliant
SITE00150,Central Testing Location,North Africa,Under Review
SITE00151,Strategic Production Unit,Northern Europe,GMP Pending
SITE00152,Advanced Testing Site,Oceania,Dual Certified
SITE00153,Key Clinical Plant,Central America,Certified with Exceptions
SITE00154,Core Processing Location,Middle East,Conditionally Approved
SITE00155,Principal Distribution Campus,Oceania,Certified with Exceptions
SITE00156,Main Storage Plant,Eastern Europe,Certified with Exceptions
SITE00157,Principal Processing Site,Southeast Asia,GMP Certified
SITE00158,Core Development Center,Southern Europe,GMP Pending
SITE00159,Principal Development Plant,North Africa,Certified with Exceptions
SITE00160,Strategic Testing Campus,Eastern Europe,GMP Certified
SITE00161,Primary Research Unit,South Asia,GMP Pending
SITE00162,Flagship Development Unit,Southern Europe,Dual Certified
SITE00163,Key Packaging Facility,South Asia,Certified with Exceptions
SITE00164,Central Storage Plant,Middle East,Certified with Exceptions
SITE00165,Advanced Storage Plant,Western Europe,Dual Certified
SITE00166,Strategic Development Location,South Asia,GMP Pending
SITE00167,Key Packaging Plant,Northern Europe,GMP Certified
SITE00168,Advanced Processing Plant,Middle East,GMP Certified
SITE00169,Primary Testing Complex,South Asia,GMP Certified
SITE00170,Key Production Unit,Oceania,GMP/GDP Compliant
SITE00171,Flagship Distribution Center,Middle East,Fully Certified
SITE00172,Strategic Storage Hub,North Africa,GMP Certified
SITE00173,Core Manufacturing Campus,Oceania,Dual Certified
SITE00174,Regional Development Location,Western Europe,Under Review
SITE00175,Central Distribution Campus,Middle East,GMP Pending
SITE00176,Advanced Development Site,Southeast Asia,Under Review
SITE00177,Main Processing Location,Southern Europe,Under Review
SITE00178,Central Manufacturing Facility,Sub-Saharan Africa,GDP Compliant
SITE00179,Key Research Plant,Western Europe,GDP Pending
SITE00180,Regional Research Campus,South America,GDP Pending
SITE00181,Flagship Distribution Campus,Oceania,GMP/GDP Compliant
SITE00182,Core Manufacturing Site,Northern Europe,GMP Certified
SITE00183,Advanced Processing Center,North Africa,Dual Certified
SITE00184,Flagship Storage Plant,Oceania,Dual Certified
SITE00185,Strategic Distribution Plant,South Asia,GDP Compliant
SITE00186,Flagship Storage Laboratory,South America,Dual Certified
SITE00187,Main Testing Center,Sub-Saharan Africa,Under Review
SITE00188,Regional Research Unit,East Asia,GDP Compliant
SITE00189,Principal Testing Location,Oceania,Certified with Exceptions
SITE00190,Flagship Distribution Location,Oceania,Fully Certified
SITE00191,Advanced Storage Location,Eastern Europe,GMP Certified
SITE00192,Flagship Manufacturing Laboratory,Caribbean,Conditionally Approved
SITE00193,Strategic Production Center,Sub-Saharan Africa,GDP Compliant
SITE00194,Regional Research Site,Eastern Europe,GDP Compliant
SITE00195,Advanced Manufacturing Unit,Sub-Saharan Africa,GDP Compliant
SITE00196,Strategic Testing Laboratory,Western Europe,Conditionally Approved
SITE00197,Flagship Storage Complex,Sub-Saharan Africa,Fully Certified
SITE00198,Primary Testing Campus,Northern Europe,GMP Pending
SITE00199,Key Packaging Center,Western Europe,Conditionally Approved
SITE00200,Advanced Research Plant,Sub-Saharan Africa,GMP Pending
SITE00201,Advanced Manufacturing Laboratory,South Asia,GDP Pending
SITE00202,Core Storage Center,Caribbean,GMP Pending
SITE00203,Strategic Research Site,Eastern Europe,Conditionally Approved
SITE00204,Strategic Packaging Hub,Sub-Saharan Africa,GMP Pending
SITE00205,Key Clinical Center,Caribbean,Dual Certified
SITE00206,Regional Production Unit,Southern Europe,GDP Compliant
SITE00207,Core Processing Unit,Middle East,GDP Compliant
SITE00208,Regional Manufacturing Plant,Central America,GMP/GDP Compliant
SITE00209,Flagship Distribution Campus,Southeast Asia,GMP/GDP Compliant
SITE00210,Flagship Clinical Campus,South Asia,GDP Pending
SITE00211,Key Manufacturing Facility,South America,Under Review
SITE00212,Primary Production Complex,Middle East,Under Review
SITE00213,Regional Research Complex,North America,GMP Certified
SITE00214,Main Research Location,Middle East,GMP Pending
SITE00215,Advanced Packaging Plant,Caribbean,Fully Certified
SITE00216,Primary Manufacturing Plant,South Asia,GMP Certified
SITE00217,Regional Distribution Campus,Caribbean,GDP Pending
SITE00218,Principal Production Facility,Eastern Europe,GMP Pending
SITE00219,Key Distribution Location,Southeast Asia,Conditionally Approved
SITE00220,Core Clinical Hub,Sub-Saharan Africa,Fully Certified
SITE00221,Strategic Manufacturing Unit,Central Asia,GMP Pending
SITE00222,Regional Processing Campus,Southeast Asia,Dual Certified
SITE00223,Central Packaging Complex,Southeast Asia,Conditionally Approved
SITE00224,Core Storage Plant,Southern Europe,Under Review
SITE00225,Main Packaging Complex,Caribbean,GDP Compliant
SITE00226,Core Clinical Complex,Sub-Saharan Africa,GMP Pending
SITE00227,Principal Production Facility,Central Asia,GMP Certified
SITE00228,Central Production Campus,Southeast Asia,Certified with Exceptions
SITE00229,Regional Development Location,Caribbean,GDP Compliant
SITE00230,Core Production Facility,Central America,GDP Compliant
SITE00231,Primary Research Unit,Sub-Saharan Africa,GDP Compliant
SITE00232,Core Packaging Facility,Caribbean,GMP Pending
SITE00233,Main Development Center,Central America,GMP Certified
SITE00234,Central Development Site,Sub-Saharan Africa,Certified with Exceptions
SITE00235,Core Development Facility,Oceania,Certified with Exceptions
SITE00236,Flagship Storage Laboratory,Eastern Europe,Under Review
SITE00237,Regional Production Site,Middle East,Under Review
SITE00238,Key Distribution Hub,South America,GMP/GDP Compliant
SITE00239,Principal Processing Location,Eastern Europe,Fully Certified
SITE00240,Central Development Complex,North America,GDP Pending
SITE00241,Strategic Processing Facility,Western Europe,Certified with Exceptions
SITE00242,Primary Testing Hub,Central Asia,Under Review
SITE00243,Main Clinical Unit,Western Europe,Under Review
SITE00244,Primary Clinical Laboratory,Southeast Asia,GDP Compliant
SITE00245,Core Processing Unit,Caribbean,Certified with Exceptions
SITE00246,Key Development Hub,South Asia,GDP Pending
SITE00247,Central Processing Laboratory,Central America,Conditionally Approved
SITE00248,Principal Testing Complex,North America,GMP Pending
SITE00249,Core Processing Campus,East Asia,GMP Certified
SITE00250,Main Manufacturing Complex,Northern Europe,Fully Certified
SITE00251,Core Production Campus,South Asia,GDP Compliant
SITE00252,Central Processing Center,Middle East,Fully Certified
SITE00253,Primary Research Campus,Central Asia,GDP Pending
SITE00254,Central Testing Unit,North Africa,Fully Certified
SITE00255,Central Packaging Center,Southeast Asia,GMP Pending
SITE00256,Flagship Manufacturing Laboratory,Central Asia,GMP Certified
SITE00257,Advanced Research Location,Western Europe,Under Review
SITE00258,Main Storage Complex,South America,Dual Certified
SITE00259,Flagship Research Campus,South Asia,GMP/GDP Compliant
SITE00260,Principal Testing Laboratory,Central America,Under Review
SITE00261,Main Production Facility,Central America,Under Review
SITE00262,Primary Packaging Location,Central Asia,GDP Pending
SITE00263,Principal Distribution Laboratory,Eastern Europe,Certified with Exceptions
SITE00264,Regional Packaging Unit,Sub-Saharan Africa,GMP/GDP Compliant
SITE00265,Core Development Facility,Southeast Asia,Under Review
SITE00266,Strategic Packaging Facility,East Asia,Certified with Exceptions
SITE00267,Principal Processing Location,Southeast Asia,Dual Certified
SITE00268,Advanced Manufacturing Plant,South Asia,GMP Certified
SITE00269,Key Testing Campus,Caribbean,GMP Certified
SITE00270,Main Clinical Unit,Oceania,Under Review
SITE00271,Primary Research Site,Sub-Saharan Africa,GMP Certified
SITE00272,Primary Testing Campus,Central America,Dual Certified
SITE00273,Flagship Processing Center,Caribbean,Conditionally Approved
SITE00274,Strategic Distribution Campus,North America,GDP Compliant
SITE00275,Main Processing Site,East Asia,Fully Certified
SITE00276,Principal Development Facility,Middle East,GMP Certified
SITE00277,Strategic Distribution Hub,Eastern Europe,GMP Pending
SITE00278,Advanced Development Plant,North America,GDP Compliant
SITE00279,Primary Testing Hub,South Asia,GDP Compliant
SITE00280,Key Packaging Location,North America,Under Review
SITE00281,Regional Clinical Laboratory,North America,Dual Certified
SITE00282,Primary Processing Center,Central Asia,GDP Compliant
SITE00283,Central Production Laboratory,Northern Europe,GDP Pending
SITE00284,Core Packaging Campus,North America,GDP Compliant
SITE00285,Principal Clinical Location,Southeast Asia,Conditionally Approved
SITE00286,Principal Processing Complex,Middle East,Conditionally Approved
SITE00287,Regional Manufacturing Center,South America,GMP/GDP Compliant
SITE00288,Central Production Campus,Central America,Certified with Exceptions
SITE00289,Advanced Production Campus,Central America,GMP/GDP Compliant
SITE00290,Key Processing Plant,Central America,GMP/GDP Compliant
SITE00291,Core Packaging Site,Southern Europe,Fully Certified
SITE00292,Flagship Development Site,Western Europe,GDP Compliant
SITE00293,Core Distribution Campus,North Africa,GDP Pending
SITE00294,Flagship Testing Laboratory,South Asia,Fully Certified
SITE00295,Primary Processing Facility,North America,Dual Certified
SITE00296,Principal Storage Center,Oceania,Fully Certified
SITE00297,Key Packaging Hub,Middle East,GDP Pending
SITE00298,Regional Storage Plant,Caribbean,Under Review
SITE00299,Strategic Research Location,Southern Europe,GMP Pending
SITE00300,Advanced Storage Complex,Central Asia,GMP Certified
SITE00301,Regional Research Center,North America,Certified with Exceptions
SITE00302,Strategic Testing Hub,Eastern Europe,GMP Pending
SITE00303,Flagship Packaging Unit,Oceania,GMP/GDP Compliant
SITE00304,Primary Processing Site,Southern Europe,Dual Certified
SITE00305,Advanced Packaging Complex,Western Europe,Fully Certified
SITE00306,Central Testing Unit,East Asia,GDP Pending
SITE00307,Flagship Clinical Complex,South Asia,GMP Pending
SITE00308,Strategic Production Location,North America,Fully Certified
SITE00309,Central Research Plant,Central America,Fully Certified
SITE00310,Regional Testing Center,Central America,Conditionally Approved
SITE00311,Flagship Development Site,Oceania,Certified with Exceptions
SITE00312,Advanced Testing Site,South Asia,GMP Certified
SITE00313,Strategic Testing Laboratory,Middle East,GDP Pending
SITE00314,Key Production Center,Southern Europe,Certified with Exceptions
SITE00315,Core Research Campus,North America,GDP Compliant
SITE00316,Primary Processing Facility,South America,Conditionally Approved
SITE00317,Principal Production Facility,Central Asia,GMP Certified
SITE00318,Key Development Hub,South America,Fully Certified
SITE00319,Regional Research Laboratory,Western Europe,Conditionally Approved
SITE00320,Regional Testing Unit,Central America,GMP Certified
SITE00321,Advanced Distribution Facility,South Asia,GMP Pending
SITE00322,Core Processing Unit,North Africa,GMP/GDP Compliant
SITE00323,Primary Storage Complex,Southern Europe,GMP Pending
SITE00324,Strategic Development Complex,Northern Europe,GMP Certified
SITE00325,Central Development Center,South Asia,Under Review
SITE00326,Core Research Campus,Middle East,Dual Certified
SITE00327,Central Packaging Complex,Northern Europe,GDP Compliant
SITE00328,Key Processing Location,Northern Europe,GMP Pending
SITE00329,Key Production Hub,Central Asia,GMP Pending
SITE00330,Flagship Distribution Center,Central Asia,Certified with Exceptions
SITE00331,Advanced Production Complex,North Africa,Certified with Exceptions
SITE00332,Key Storage Hub,East Asia,Dual Certified
SITE00333,Flagship Production Unit,Oceania,GMP/GDP Compliant
SITE00334,Principal Development Location,Central America,Conditionally Approved
SITE00335,Flagship Clinical Unit,Southeast Asia,GMP/GDP Compliant
SITE00336,Core Storage Site,North Africa,Fully Certified
SITE00337,Principal Clinical Hub,Southeast Asia,Under Review
SITE00338,Regional Testing Location,Caribbean,GMP Certified
SITE00339,Primary Processing Site,Central America,GDP Pending
SITE00340,Key Production Location,North America,GMP Certified
SITE00341,Principal Research Unit,Northern Europe,Dual Certified
SITE00342,Principal Distribution Unit,Eastern Europe,Dual Certified
SITE00343,Regional Research Facility,Northern Europe,GMP Pending
SITE00344,Primary Distribution Location,North America,Fully Certified
SITE00345,Core Development Laboratory,South America,Dual Certified
SITE00346,Core Manufacturing Complex,Oceania,Certified with Exceptions
SITE00347,Principal Testing Plant,Central Asia,Under Review
SITE00348,Regional Development Laboratory,South America,Certified with Exceptions
SITE00349,Advanced Manufacturing Laboratory,Southeast Asia,GMP Pending
SITE00350,Main Research Location,North Africa,Certified with Exceptions
SITE00351,Key Packaging Complex,South Asia,GMP Pending
SITE00352,Main Research Unit,Central America,Conditionally Approved
SITE00353,Strategic Production Complex,Western Europe,GMP Certified
SITE00354,Main Clinical Location,Eastern Europe,GMP/GDP Compliant
SITE00355,Flagship Distribution Unit,South America,GMP/GDP Compliant
SITE00356,Advanced Processing Facility,Central America,GDP Compliant
SITE00357,Central Manufacturing Facility,Central Asia,GMP Certified
SITE00358,Primary Storage Facility,South Asia,GMP/GDP Compliant
SITE00359,Principal Processing Unit,Central Asia,Conditionally Approved
SITE00360,Flagship Clinical Campus,Oceania,GMP Pending
SITE00361,Strategic Manufacturing Plant,Central Asia,Conditionally Approved
SITE00362,Main Packaging Hub,Sub-Saharan Africa,Dual Certified
SITE00363,Flagship Processing Location,Eastern Europe,GMP Certified
SITE00364,Key Development Plant,Sub-Saharan Africa,GMP/GDP Compliant
SITE00365,Strategic Manufacturing Facility,Central Asia,GMP Certified
SITE00366,Regional Clinical Campus,Northern Europe,GMP Pending
SITE00367,Regional Manufacturing Campus,Middle East,Fully Certified
SITE00368,Primary Storage Complex,North Africa,GDP Pending
SITE00369,Flagship Testing Site,Southeast Asia,GMP/GDP Compliant
SITE00370,Core Clinical Hub,Oceania,GMP Pending
SITE00371,Strategic Processing Hub,North America,Dual Certified
SITE00372,Strategic Clinical Unit,Sub-Saharan Africa,Under Review
SITE00373,Key Manufacturing Site,East Asia,Conditionally Approved
SITE00374,Key Distribution Facility,Central America,Under Review
SITE00375,Regional Production Laboratory,Middle East,Certified with Exceptions
SITE00376,Advanced Development Hub,North America,Certified with Exceptions
SITE00377,Main Manufacturing Hub,North Africa,GMP Certified
SITE00378,Principal Distribution Location,Caribbean,Dual Certified
SITE00379,Strategic Distribution Site,Northern Europe,Dual Certified
SITE00380,Primary Development Unit,Oceania,GMP Certified
SITE00381,Strategic Production Site,Eastern Europe,Under Review
SITE00382,Advanced Research Facility,Eastern Europe,Fully Certified
SITE00383,Primary Clinical Campus,Caribbean,GMP/GDP Compliant
SITE00384,Advanced Development Hub,Southern Europe,Certified with Exceptions
SITE00385,Primary Manufacturing Campus,Western Europe,Certified with Exceptions
SITE00386,Strategic Packaging Plant,Western Europe,GDP Pending
SITE00387,Main Clinical Unit,Sub-Saharan Africa,Fully Certified
SITE00388,Regional Development Complex,Sub-Saharan Africa,GMP Certified
SITE00389,Advanced Distribution Plant,Caribbean,GMP/GDP Compliant
SITE00390,Central Production Center,East Asia,GMP Certified
SITE00391,Flagship Clinical Facility,Northern Europe,Under Review
SITE00392,Primary Distribution Campus,Sub-Saharan Africa,GMP Certified
SITE00393,Strategic Development Center,Sub-Saharan Africa,Certified with Exceptions
SITE00394,Main Packaging Campus,Oceania,Certified with Exceptions
SITE00395,Regional Distribution Complex,Western Europe,Conditionally Approved
SITE00396,Key Distribution Center,Central Asia,Certified with Exceptions
SITE00397,Advanced Clinical Hub,Northern Europe,Fully Certified
SITE00398,Main Manufacturing Campus,Caribbean,GMP/GDP Compliant
SITE00399,Flagship Production Laboratory,East Asia,Certified with Exceptions
SITE00400,Primary Manufacturing Location,Middle East,GDP Pending
SITE00401,Strategic Development Location,Southeast Asia,GDP Pending
SITE00402,Main Processing Plant,Caribbean,GMP Pending
SITE00403,Flagship Clinical Location,Northern Europe,GMP Pending
SITE00404,Regional Packaging Hub,Oceania,GMP/GDP Compliant
SITE00405,Key Processing Site,Sub-Saharan Africa,GDP Pending
SITE00406,Flagship Manufacturing Center,South America,Certified with Exceptions
SITE00407,Strategic Testing Laboratory,East Asia,GDP Pending
SITE00408,Main Research Plant,Oceania,GMP/GDP Compliant
SITE00409,Key Distribution Plant,North Africa,Certified with Exceptions
SITE00410,Flagship Distribution Location,North America,Under Review
SITE00411,Flagship Clinical Plant,Eastern Europe,Certified with Exceptions
SITE00412,Advanced Storage Site,Central America,GDP Compliant
SITE00413,Principal Testing Facility,Western Europe,GDP Compliant
SITE00414,Main Production Complex,South America,Dual Certified
SITE00415,Primary Testing Facility,Western Europe,Dual Certified
SITE00416,Regional Distribution Hub,Central Asia,GMP Pending
SITE00417,Main Production Facility,North Africa,GMP Pending
SITE00418,Principal Development Laboratory,Oceania,GMP/GDP Compliant
SITE00419,Strategic Manufacturing Center,Central America,Certified with Exceptions
SITE00420,Key Manufacturing Hub,Eastern Europe,Fully Certified
SITE00421,Main Distribution Center,Central Asia,GMP Pending
SITE00422,Key Packaging Site,Sub-Saharan Africa,GDP Pending
SITE00423,Main Development Campus,Central America,GMP Certified
SITE00424,Primary Manufacturing Center,Caribbean,Under Review
SITE00425,Regional Clinical Center,Middle East,Under Review
SITE00426,Key Research Plant,North America,Under Review
SITE00427,Primary Testing Location,Eastern Europe,Fully Certified
SITE00428,Key Processing Facility,Central Asia,Fully Certified
SITE00429,Regional Production Unit,Central America,GMP/GDP Compliant
SITE00430,Regional Manufacturing Site,South Asia,GDP Compliant
SITE00431,Main Development Hub,North America,Fully Certified
SITE00432,Core Development Campus,South America,Dual Certified
SITE00433,Strategic Manufacturing Complex,North Africa,GMP Pending
SITE00434,Regional Development Facility,South America,GDP Pending
SITE00435,Strategic Manufacturing Unit,Central America,Under Review
SITE00436,Principal Storage Facility,North America,GDP Compliant
SITE00437,Primary Distribution Plant,South America,GDP Pending
SITE00438,Primary Distribution Location,North America,GDP Compliant
SITE00439,Advanced Clinical Plant,North Africa,GDP Compliant
SITE00440,Advanced Distribution Campus,North Africa,Under Review
SITE00441,Core Storage Plant,South America,GDP Pending
SITE00442,Core Manufacturing Laboratory,Oceania,GMP Pending
SITE00443,Core Development Campus,Northern Europe,Fully Certified
SITE00444,Central Research Site,Eastern Europe,GMP Certified
SITE00445,Principal Processing Center,South Asia,Fully Certified
SITE00446,Core Production Campus,South Asia,Certified with Exceptions
SITE00447,Core Processing Unit,Northern Europe,GMP Pending
SITE00448,Key Research Center,Oceania,Fully Certified
SITE00449,Key Distribution Facility,Western Europe,Dual Certified
SITE00450,Principal Clinical Hub,Southeast Asia,Fully Certified
SITE00451,Strategic Storage Site,East Asia,GMP Pending
SITE00452,Key Manufacturing Hub,East Asia,GMP/GDP Compliant
SITE00453,Regional Manufacturing Laboratory,Northern Europe,GMP Certified
SITE00454,Principal Clinical Center,East Asia,GDP Compliant
SITE00455,Principal Development Laboratory,South America,Conditionally Approved
SITE00456,Main Processing Complex,North America,Fully Certified
SITE00457,Strategic Storage Location,South Asia,GMP/GDP Compliant
SITE00458,Principal Clinical Location,South America,GDP Compliant
SITE00459,Principal Testing Location,Middle East,Certified with Exceptions
SITE00460,Strategic Manufacturing Campus,North Africa,GDP Compliant
SITE00461,Principal Research Complex,Central America,Dual Certified
SITE00462,Core Storage Hub,Central Asia,Certified with Exceptions
SITE00463,Core Manufacturing Facility,Southeast Asia,GMP/GDP Compliant
SITE00464,Principal Production Plant,East Asia,Fully Certified
SITE00465,Flagship Storage Center,Middle East,GMP Certified
SITE00466,Primary Processing Location,South America,Fully Certified
SITE00467,Regional Storage Campus,Central Asia,Fully Certified
